Latitude,Longitude
40.778286,-73.975395
40.695457,-73.789513
40.861797,-73.929695
40.738071,-73.999268
40.746128,-73.9216
40.707012,-73.953094
40.727249,-73.982941
40.665642,-73.991196
40.773842,-73.979698
40.719505,-73.996056
40.720409,-73.990173
40.727978,-73.986786
40.739765,-74.000931
40.738102,-73.999344
40.682911,-73.938721
40.698074,-73.960571
40.633652,-74.155273
40.575245,-73.843796
40.688007,-73.975983
40.711411,-73.961098
40.707088,-73.953255
40.72823,-73.980721
40.857113,-73.930618
40.613701,-73.944763
40.773365,-73.962555
40.678379,-73.92366
40.674232,-73.802834
40.764149,-73.970184
40.797443,-73.937103
40.659927,-73.891151
40.682529,-73.915771
40.847729,-73.921715
,
40.815716,-73.942963
40.832134,-73.921913
40.637577,-73.980782
40.678196,-73.9795
40.671314,-73.957512
40.720554,-73.838402
40.591015,-74.164223
40.638298,-73.895393
40.739315,-74.002174
40.846329,-73.937187
40.580444,-73.984871
40.711411,-73.961098
40.734329,-74.003227
40.794186,-73.943466
40.690285,-73.990219
40.680779,-73.927818
40.88652,-73.858368
40.667171,-73.930969
40.622433,-74.032425
40.730049,-73.957352
40.674397,-73.892418
40.738102,-73.999344
40.855957,-73.883614
40.819939,-73.954002
40.869755,-73.8908
40.750412,-73.981995
40.86018,-73.8703
40.622822,-74.037491
40.638493,-74.014938
40.737621,-73.999977
40.779118,-73.953102
40.582176,-73.958008
40.546082,-74.152039
40.756794,-73.964775
40.685375,-74.001709
40.830395,-73.941917
40.685089,-73.98896
40.709091,-73.948189
40.720562,-73.96093
40.661354,-73.923615
40.693966,-73.957199
40.620987,-73.910835
40.629452,-74.009964
40.801956,-73.945145
40.813648,-73.95575
40.810219,-73.924774
40.714417,-73.9562
40.676926,-73.910179
40.864304,-73.866142
40.685509,-73.977364
40.69902,-73.920662
40.822933,-73.955276
40.723339,-73.996399
40.642864,-73.952332
40.583897,-73.953316
40.714417,-73.9562
40.714417,-73.9562
40.879452,-73.86718
40.853786,-73.901215
40.733299,-73.953674
40.600243,-73.947441
40.830036,-73.90416
40.83297,-73.942734
40.8139,-73.960663
40.738102,-73.999344
40.729858,-73.981689
40.703842,-74.012306
40.693562,-73.961983
40.816387,-73.81958
40.715088,-73.990288
40.834213,-73.936043
40.679001,-73.926926
40.709538,-73.951202
40.766071,-73.969223
40.71986,-73.988312
40.708538,-73.95224
40.766941,-73.919937
40.756748,-73.994385
40.706741,-73.959908
40.856979,-73.932869
40.805027,-73.967216
40.862976,-73.921989
40.673199,-73.955261
40.743237,-73.980339
40.761051,-73.993256
40.67004,-73.978653
40.73909,-74.000275
40.836987,-73.905838
40.697395,-73.986786
40.73455,-73.955208
40.701706,-73.751686
40.790295,-73.943054
40.721676,-73.938248
40.737507,-73.999794
40.72781,-74.002846
40.772327,-73.947075
40.760925,-73.989136
40.747143,-74.002258
40.731178,-74.003555
40.716751,-73.989922
40.681431,-73.951729
40.660919,-73.996071
40.686192,-73.825836
40.825985,-73.943741
40.868088,-73.917114
40.701706,-73.751686
40.838169,-73.942429
40.837223,-73.921928
40.711365,-73.965988
40.707703,-73.964554
40.676762,-73.772247
40.701706,-73.751686
40.80043,-73.970268
40.781796,-73.948494
40.782379,-73.948128
40.803776,-73.964226
40.782719,-73.947807
40.782543,-73.947952
40.782604,-73.947906
40.783524,-73.94796
40.783222,-73.948181
40.783169,-73.948242
40.69228,-73.922089
40.845188,-73.904572
40.766579,-73.955757
40.612637,-74.072792
40.837769,-73.946472
40.728832,-73.959908
40.717365,-73.955025
